rep,bench,arm,ns_per_op,err_pct,probe_off,probe_on
9,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16205486.00,0.9,0.2258,0.8701
9,CCoinsCaching,base,177.49,4.5,0.2258,0.8701
9,CoinSelection,base,3195245.80,0.3,0.2258,0.8701
9,ComplexMemPool,base,34790167.00,1.4,0.2258,0.8701
9,ConnectBlockAllEcdsa,base,26868500.00,0.2,0.2258,0.8701
9,DeserializeBlockTest,base,737223.00,0.2,0.2258,0.8701
9,MemPoolAddTransactions,base,68060375.00,0.3,0.2258,0.8701
9,SignTransactionECDSA,base,57698.86,0.1,0.2258,0.8701
9,SignTransactionSchnorr,base,43343.51,0.0,0.2258,0.8701
9,TxGraphTrim,base,9352542.00,0.0,0.2258,0.8701
9,WalletAvailableCoins,base,26439479.00,0.1,0.2258,0.8701
9,WalletCreateTxUsePresetInputsAndCoinSelection,base,15589708.33,0.6,0.2258,0.8701
10,CCoinsCaching,dit,177.87,1.6,0.2273,0.8697
10,CheckBlockTest,dit,329500.00,4.1,0.2273,0.8697
10,CoinSelection,dit,3599104.20,0.2,0.2273,0.8697
10,ComplexMemPool,dit,36734917.00,2.4,0.2273,0.8697
10,ConnectBlockAllEcdsa,dit,26996958.00,0.5,0.2273,0.8697
10,DeserializeBlockTest,dit,741846.47,0.1,0.2273,0.8697
10,MemPoolAddTransactions,dit,69845583.00,0.9,0.2273,0.8697
10,SignTransactionECDSA,dit,57045.57,0.2,0.2273,0.8697
10,SignTransactionSchnorr,dit,44105.32,0.1,0.2273,0.8697
10,TxGraphTrim,dit,9946125.00,0.0,0.2273,0.8697
10,WalletAvailableCoins,dit,26804937.50,0.1,0.2273,0.8697
10,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16118458.33,0.3,0.2273,0.8697
10,CCoinsCaching,base,170.94,2.1,0.2273,0.8697
10,CoinSelection,base,3183900.00,0.4,0.2273,0.8697
10,ComplexMemPool,base,34739416.00,1.2,0.2273,0.8697
10,ConnectBlockAllEcdsa,base,26850895.50,0.1,0.2273,0.8697
10,DeserializeBlockTest,base,741364.29,0.2,0.2273,0.8697
10,MemPoolAddTransactions,base,68388667.00,0.5,0.2273,0.8697
10,SignTransactionECDSA,base,56233.58,0.1,0.2273,0.8697
10,SignTransactionSchnorr,base,43315.15,0.1,0.2273,0.8697
10,TxGraphTrim,base,9151209.00,0.0,0.2273,0.8697
10,WalletAvailableCoins,base,26251729.00,0.1,0.2273,0.8697
10,WalletCreateTxUsePresetInputsAndCoinSelection,base,15571694.33,0.8,0.2273,0.8697
10,CCoinsCaching,null,167.21,1.9,0.2273,0.8697
10,CoinSelection,null,3136037.50,0.6,0.2273,0.8697
10,ComplexMemPool,null,34414084.00,1.4,0.2273,0.8697
10,ConnectBlockAllEcdsa,null,26907937.50,0.2,0.2273,0.8697
10,DeserializeBlockTest,null,738826.87,0.1,0.2273,0.8697
10,MemPoolAddTransactions,null,68336000.00,0.3,0.2273,0.8697
10,SignTransactionECDSA,null,55102.89,0.1,0.2273,0.8697
10,SignTransactionSchnorr,null,43400.37,0.0,0.2273,0.8697
10,TxGraphTrim,null,9307083.00,0.0,0.2273,0.8697
10,WalletAvailableCoins,null,25941791.50,0.1,0.2273,0.8697
10,WalletCreateTxUsePresetInputsAndCoinSelection,null,15629750.00,0.9,0.2273,0.8697
11,CCoinsCaching,base,158.34,1.0,0.2252,0.8691
11,CoinSelection,base,3129683.30,0.3,0.2252,0.8691
11,ComplexMemPool,base,34402708.00,1.0,0.2252,0.8691
11,ConnectBlockAllEcdsa,base,26865896.00,0.1,0.2252,0.8691
11,DeserializeBlockTest,base,741046.08,0.2,0.2252,0.8691
11,MemPoolAddTransactions,base,68237291.00,0.4,0.2252,0.8691
11,SignTransactionECDSA,base,57623.94,0.1,0.2252,0.8691
11,SignTransactionSchnorr,base,43321.05,0.1,0.2252,0.8691
11,TxGraphTrim,base,9352458.00,0.0,0.2252,0.8691
11,WalletAvailableCoins,base,25672271.00,0.1,0.2252,0.8691
11,WalletCreateTxUsePresetInputsAndCoinSelection,base,15507750.00,0.7,0.2252,0.8691
11,CCoinsCaching,null,162.86,3.0,0.2252,0.8691
11,CoinSelection,null,3213166.70,0.2,0.2252,0.8691
11,ComplexMemPool,null,35359167.00,2.1,0.2252,0.8691
11,ConnectBlockAllEcdsa,null,26943687.50,0.3,0.2252,0.8691
11,DeserializeBlockTest,null,743120.31,0.1,0.2252,0.8691
11,MemPoolAddTransactions,null,68931791.00,0.5,0.2252,0.8691
